                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.783962       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -3.32488726531135e-03
 9.99429683992583e-01 -4.73004629483813e-03
 9.98063017832965e-01 -8.06566336535086e-03
 9.95573914266674e-01 -1.40273159339125e-02
 9.92086309749559e-01 -2.21379733563975e-02
 9.87686148675057e-01 -3.19764382106054e-02
 9.82330525170640e-01 -4.33755508280483e-02
 9.76011908335692e-01 -5.60424461963837e-02
 9.68787467298381e-01 -6.95363369136367e-02
 9.60674860259240e-01 -8.35017842769867e-02
 9.51675358763677e-01 -9.76220133797093e-02
 9.41827652746244e-01 -1.11549969601036e-01
 9.31175295355131e-01 -1.23676963041745e-01
 9.19730397431178e-01 -1.35956323957577e-01
 9.07524559194720e-01 -1.48736953845843e-01
 8.94610408070308e-01 -1.61788192473649e-01
 8.81009696499435e-01 -1.75154877316848e-01
 8.66747905197194e-01 -1.88745772234984e-01
 8.51890258171205e-01 -2.02373944307501e-01
 8.36469462621421e-01 -2.16105778881908e-01
 8.20513485943698e-01 -2.29727643888959e-01
 8.04073832217581e-01 -2.43147561144119e-01
 7.87191529885653e-01 -2.56647465437981e-01
 7.69897919101553e-01 -2.69846120520233e-01
 7.52252341235159e-01 -2.82521450884068e-01
 7.34291349178558e-01 -2.94822155353702e-01
 7.16044924955764e-01 -3.06573452133209e-01
 6.97571640033109e-01 -3.17584404989727e-01
 6.78906186433687e-01 -3.27774907921650e-01
 6.60080312620540e-01 -3.37427751737755e-01
 6.41147517137212e-01 -3.46138469073644e-01
 6.22137650968852e-01 -3.54070223210848e-01
 6.03087998194415e-01 -3.61218230007764e-01
 5.84045042118975e-01 -3.67580287641944e-01
 5.65030897687003e-01 -3.73246254015344e-01
 5.46088602779599e-01 -3.78184981890094e-01
 5.27248673916899e-01 -3.82204447090614e-01
 5.08535950506088e-01 -3.85508792172086e-01
 4.89992355470388e-01 -3.88212842760588e-01
 4.71632114506831e-01 -3.89973805939809e-01
 4.53492503744348e-01 -3.91316743680110e-01
 4.35593302897673e-01 -3.91749735454663e-01
 4.17956065616942e-01 -3.91576177760133e-01
 4.00609748442576e-01 -3.90876650877039e-01
 3.83560931606009e-01 -3.89668202110352e-01
 3.66843215733716e-01 -3.87845549145123e-01
 3.50457316320503e-01 -3.85403617808052e-01
 3.34434484008630e-01 -3.82711903856177e-01
 3.18774100329315e-01 -3.79283990129389e-01
 3.03499623121295e-01 -3.75510680008416e-01
 2.88611293565648e-01 -3.71318695489598e-01
 2.74124386665666e-01 -3.66911941896148e-01
 2.60041455523719e-01 -3.61841585441285e-01
 2.46374872015918e-01 -3.56593722021795e-01
 2.33123443938833e-01 -3.50886937654231e-01
 2.20293777810423e-01 -3.45084637776039e-01
 2.07883282965331e-01 -3.38895354766421e-01
 1.95902956391646e-01 -3.32432536326209e-01
 1.84341253066628e-01 -3.25806445328346e-01
 1.73213930954161e-01 -3.18797853669957e-01
 1.62499176129638e-01 -3.11770866843346e-01
 1.52214602777259e-01 -3.04401429878625e-01
 1.42331759398971e-01 -2.96944765598950e-01
 1.32872111539190e-01 -2.89332603512791e-01
 1.23806439629760e-01 -2.81556542519575e-01
 1.15147623386077e-01 -2.73594032162823e-01
 1.06887208802748e-01 -2.65647782412891e-01
 9.90071115215634e-02 -2.57441557551306e-01
 9.15234043853440e-02 -2.49247132181466e-01
 8.43970428172224e-02 -2.40895483100868e-01
 7.76464790199521e-02 -2.32466105748869e-01
 7.12479082120208e-02 -2.24053646425586e-01
 6.51878662973747e-02 -2.15472384736451e-01
 5.94874721274203e-02 -2.06955767060935e-01
 5.41002464180900e-02 -1.98476138950136e-01
 4.90378786701877e-02 -1.89987880676558e-01
