------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
AeroElasticSE FAST driver
======  Blade Properties =================================================================
50          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -1.562584083076997e-01  2.000195662801704e+01  4.500000000000000e+00        1
 1.999925356168168e+00 -5.454237086148398e-03  0.000000000000000e+00 -2.588406463045316e-01  1.948685094897706e+01  4.503153041429663e+00        2
 3.999850712336336e+00 -1.806975017474230e-02  0.000000000000000e+00 -4.872418273992195e-01  1.880258398676953e+01  4.521632269686211e+00        3
 5.999776068504504e+00 -3.946845413950356e-02  0.000000000000000e+00 -7.141127535044568e-01  1.798560022194251e+01  4.564473437026853e+00        4
 7.999701424672672e+00 -6.792107393769431e-02  0.000000000000000e+00 -8.914466109449871e-01  1.706221932962404e+01  4.627115925375490e+00        5
 9.999626780840842e+00 -1.016983345265766e-01  0.000000000000000e+00 -1.019238852059855e+00  1.605876098494217e+01  4.704999116656017e+00        6
 1.199955213700901e+01 -1.390709608634125e-01  0.000000000000000e+00 -1.097484727914692e+00  1.500154486302496e+01  4.793562392792339e+00        7
 1.399947749317718e+01 -1.783096779054641e-01  0.000000000000000e+00 -1.126180722115038e+00  1.391689063900045e+01  4.888245135708356e+00        8
 1.599940284934534e+01 -2.176852106099934e-01  0.000000000000000e+00 -1.105325429167830e+00  1.283111798799670e+01  4.984486727327968e+00        9
 1.799932820551351e+01 -2.554682839342627e-01  0.000000000000000e+00 -1.036624231239114e+00  1.177054658514177e+01  5.077726549575075e+00       10
 1.993794268333987e+01 -2.889393784319580e-01  0.000000000000000e+00 -9.198793391266442e-01  1.079140791276148e+01  5.160934254898568e+00       11
 2.187655716116622e+01 -3.177142228310246e-01  0.000000000000000e+00 -7.577887140038708e-01  9.884652184031582e+00  5.232882233030735e+00       12
 2.381517163899257e+01 -3.402177572522455e-01  0.000000000000000e+00 -5.491509112578011e-01  9.074251909572805e+00  5.289416577635935e+00       13
 2.575378611681892e+01 -3.548749218164036e-01  0.000000000000000e+00 -2.939687573638999e-01  8.384179600005892e+00  5.326383382378525e+00       14
 2.769240059464527e+01 -3.601106566442823e-01  0.000000000000000e+00 -1.593326671682454e-02  7.838407765951583e+00  5.339628740922864e+00       15
 2.963101507247163e+01 -3.559531325118750e-01  0.000000000000000e+00  2.301209202143732e-01  7.402460501199309e+00  5.319492070320865e+00       16
 3.149187051918898e+01 -3.448506292546888e-01  0.000000000000000e+00  4.331508941833286e-01  7.032896170928532e+00  5.267040528326320e+00       17
 3.335272596590634e+01 -3.278176038632791e-01  0.000000000000000e+00  6.000335131284584e-01  6.701091721677095e+00  5.189090592370491e+00       18
 3.521358141262370e+01 -3.058754994725050e-01  0.000000000000000e+00  7.354682629531125e-01  6.397050173044307e+00  5.092493130757877e+00       19
 3.707443685934105e+01 -2.800457592172259e-01  0.000000000000000e+00  8.394533623794654e-01  6.110774544629480e+00  4.984099011792980e+00       20
 3.893529230605841e+01 -2.513498262323006e-01  0.000000000000000e+00  9.119868473204309e-01  5.832267856031928e+00  4.870759103780299e+00       21
 4.079614775277577e+01 -2.208091436525886e-01  0.000000000000000e+00  9.597522491899780e-01  5.551533126850957e+00  4.759324275024337e+00       22
 4.265700319949313e+01 -1.890109699966055e-01  0.000000000000000e+00  1.108395335112756e+00  5.259748089023983e+00  4.655738982754796e+00       23
 4.451785864621048e+01 -1.488165861120924e-01  0.000000000000000e+00  1.394452583877418e+00  4.971295350597560e+00  4.548254519694042e+00       24
 4.637871409292784e+01 -9.844169784218916e-02  0.000000000000000e+00  1.686479107864745e+00  4.691563504793543e+00  4.432567344988084e+00       25
 4.823956953964519e+01 -3.928528338203698e-02  0.000000000000000e+00  1.944251822852107e+00  4.418086656086895e+00  4.310504206192357e+00       26
 5.025503560149709e+01  3.307058685996429e-02  0.000000000000000e+00  2.155277520230349e+00  4.126085141827771e+00  4.173224547664286e+00       27
 5.227050166334898e+01  1.123092794447123e-01  0.000000000000000e+00  2.325808358207381e+00  3.835395506682632e+00  4.032929274861560e+00       28
 5.428596772520088e+01  1.966533357472102e-01  0.000000000000000e+00  2.445783090152036e+00  3.542884730219468e+00  3.891939344757902e+00       29
 5.630143378705277e+01  2.843252971424609e-01  0.000000000000000e+00  2.581384740190992e+00  3.245419792006268e+00  3.752575714327033e+00       30
 5.831689984890468e+01  3.782001603086328e-01  0.000000000000000e+00  2.849318403542743e+00  2.945874486565666e+00  3.614674958851123e+00       31
 6.033236591075656e+01  4.847008872200123e-01  0.000000000000000e+00  3.185079926778775e+00  2.651231472035354e+00  3.475029409061031e+00       32
 6.234783197260846e+01  6.021648145781371e-01  0.000000000000000e+00  3.471362948281071e+00  2.357677376826707e+00  3.333880314179949e+00       33
 6.436329803446036e+01  7.287724299382479e-01  0.000000000000000e+00  3.705897657944647e+00  2.061192986868971e+00  3.191544559274359e+00       34
 6.637876409631225e+01  8.627042208555850e-01  0.000000000000000e+00  3.888648406230160e+00  1.757759088091393e+00  3.048339029410742e+00       35
 6.839423015816413e+01  1.002140674885389e+00  0.000000000000000e+00  4.019584380145955e+00  1.443356466423219e+00  2.904580609655577e+00       36
 7.040969622001603e+01  1.145262279582900e+00  0.000000000000000e+00  4.127096637430242e+00  1.113965907793697e+00  2.760586185075347e+00       37
 7.242516228186794e+01  1.292243439743112e+00  0.000000000000000e+00  4.308536737985884e+00  7.703488046011311e-01  2.616800676880615e+00       38
 7.444062834371984e+01  1.448095329664315e+00  0.000000000000000e+00  4.555241052084194e+00  4.227384030951847e-01  2.473501433510094e+00       39
 7.645609440557173e+01  1.612380976924019e+00  0.000000000000000e+00  4.858484524882182e+00  6.594223657958441e-02  2.330084129124264e+00       40
 7.999701424672674e+01  1.918693251348216e+00  0.000000000000000e+00  5.066982866846075e+00 -6.025431751274000e-01  2.075851797872064e+00       41
 8.240861190458908e+01  2.138109142847343e+00  0.000000000000000e+00  5.303208768230133e+00 -1.103096980629304e+00  1.899529057882327e+00       42
 8.482020956245144e+01  2.364483596663435e+00  0.000000000000000e+00  5.470041044384020e+00 -1.652998682610329e+00  1.719341323423387e+00       43
 8.723180722031380e+01  2.597881510956690e+00  0.000000000000000e+00  5.655641364447034e+00 -2.267848288546197e+00  1.534665500959944e+00       44
 8.917296901973235e+01  2.793445184947671e+00  0.000000000000000e+00  5.882382483954398e+00 -2.821343662033100e+00  1.383386660925014e+00       45
 9.111413081915089e+01  2.995767955907722e+00  0.000000000000000e+00  6.078862710352052e+00 -3.423650302805136e+00  1.229862720933670e+00       46
 9.305529261856942e+01  3.204572529662290e+00  0.000000000000000e+00  6.267180765291286e+00 -4.070854354938160e+00  1.074138492176351e+00       47
