------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
AeroElasticSE FAST driver
======  Blade Properties =================================================================
50          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -1.562584083076997e-01  2.000195662801704e+01  4.500000000000000e+00        1
 1.999925356168168e+00 -5.454237086148398e-03  0.000000000000000e+00 -2.588406463045316e-01  1.948685094897706e+01  4.503153041429663e+00        2
 3.999850712336336e+00 -1.806975017474230e-02  0.000000000000000e+00 -4.872418273992195e-01  1.880259299590579e+01  4.521632269686211e+00        3
 5.999776068504504e+00 -3.946845413950356e-02  0.000000000000000e+00 -7.141127535044568e-01  1.798563321658618e+01  4.564473437026853e+00        4
 7.999701424672672e+00 -6.792107393769431e-02  0.000000000000000e+00 -8.914466109449871e-01  1.706228672329419e+01  4.627115925375490e+00        5
 9.999626780840842e+00 -1.016983345265766e-01  0.000000000000000e+00 -1.019238852059855e+00  1.605886862830581e+01  4.704999116656017e+00        6
 1.199955213700901e+01 -1.390709608634125e-01  0.000000000000000e+00 -1.097484727914692e+00  1.500169404389701e+01  4.793562392792339e+00        7
 1.399947749317718e+01 -1.783096779054641e-01  0.000000000000000e+00 -1.126180722115038e+00  1.391707808234378e+01  4.888245135708356e+00        8
 1.599940284934534e+01 -2.176852106099934e-01  0.000000000000000e+00 -1.105325429167830e+00  1.283133585592210e+01  4.984486727327968e+00        9
 1.799932820551351e+01 -2.554682839342627e-01  0.000000000000000e+00 -1.036624231239114e+00  1.177078247690795e+01  5.077726549575075e+00       10
 1.993794268333987e+01 -2.889393784319580e-01  0.000000000000000e+00 -9.198793391266442e-01  1.079164512882795e+01  5.160934254898568e+00       11
 2.187655716116622e+01 -3.177142228310246e-01  0.000000000000000e+00 -7.577887140038708e-01  9.884870629012681e+00  5.232882233030735e+00       12
 2.381517163899257e+01 -3.402177572522455e-01  0.000000000000000e+00 -5.491509112578011e-01  9.074427332141774e+00  5.289416577635935e+00       13
 2.575378611681892e+01 -3.548749218164036e-01  0.000000000000000e+00 -2.939687573638999e-01  8.384283592894860e+00  5.326383382378525e+00       14
 2.769240059464527e+01 -3.601106566442823e-01  0.000000000000000e+00 -1.605411750504958e-02  7.838407765951583e+00  5.339628740922864e+00       15
 2.963101507247163e+01 -3.559613105340809e-01  0.000000000000000e+00  2.296822572267585e-01  7.402321511518595e+00  5.319521657898507e+00       16
 3.149187051918898e+01 -3.448797181932704e-01  0.000000000000000e+00  4.323622808972636e-01  7.032601550676582e+00  5.267144128941380e+00       17
 3.335272596590634e+01 -3.278770056748247e-01  0.000000000000000e+00  5.990068770525372e-01  6.700634866366965e+00  5.189298218744759e+00       18
 3.521358141262370e+01 -3.059712710452259e-01  0.000000000000000e+00  7.343065931702363e-01  6.396439426674798e+00  5.092820331063341e+00       19
 3.707443685934105e+01 -2.801806123709562e-01  0.000000000000000e+00  8.382596605871280e-01  6.110033199685126e+00  4.984546869651818e+00       20
 3.893529230605841e+01 -2.515231277184975e-01  0.000000000000000e+00  9.108641265167738e-01  5.831434153482999e+00  4.871314238264888e+00       21
 4.079614775277577e+01 -2.210169151543320e-01  0.000000000000000e+00  9.588267983886622e-01  5.550660256153464e+00  4.759958840657244e+00       22
 4.265700319949313e+01 -1.892443767404935e-01  0.000000000000000e+00  1.108177249694667e+00  5.258904010278499e+00  4.656409744561639e+00       23
 4.451785864621048e+01 -1.490385209439053e-01  0.000000000000000e+00  1.395397888353817e+00  4.970550604090112e+00  4.548895054370073e+00       24
 4.637871409292784e+01 -9.861371948244461e-02  0.000000000000000e+00  1.688440905161675e+00  4.690971865795600e+00  4.433120112382475e+00       25
 4.823956953964519e+01 -3.937984275800138e-02  0.000000000000000e+00  1.946911129256810e+00  4.417683466221771e+00  4.310930182610966e+00       26
 5.025503560149709e+01  3.307837574309551e-02  0.000000000000000e+00  2.158270232937036e+00  4.125904556178163e+00  4.173490643270434e+00       27
 5.227050166334898e+01  1.124251173454435e-01  0.000000000000000e+00  2.328766744702074e+00  3.835433938869238e+00  4.033034959042285e+00       28
 5.428596772520088e+01  1.968690844329180e-01  0.000000000000000e+00  2.448313281819332e+00  3.543115173164205e+00  3.891907612810626e+00       29
 5.630143378705277e+01  2.846189793893938e-01  0.000000000000000e+00  2.583099599808723e+00  3.245791817932276e+00  3.752453087459564e+00       30
 5.831689984890468e+01  3.785364320715169e-01  0.000000000000000e+00  2.850029446870815e+00  2.946336213707932e+00  3.614517312470289e+00       31
 6.033236591075656e+01  4.850445316656329e-01  0.000000000000000e+00  3.184919914438093e+00  2.651759690600683e+00  3.474872189656124e+00       32
 6.234783197260846e+01  6.024898463755582e-01  0.000000000000000e+00  3.470595371872764e+00  2.358249478844834e+00  3.333748829375533e+00       33
 6.436329803446036e+01  7.290621721125176e-01  0.000000000000000e+00  3.704787383934095e+00  2.061786320093046e+00  3.191454321568183e+00       34
 6.637876409631225e+01  8.629513047877346e-01  0.000000000000000e+00  3.887460552944988e+00  1.758350955997983e+00  3.048295756173743e+00       35
 6.839423015816413e+01  1.002347040312435e+00  0.000000000000000e+00  4.018584253404470e+00  1.443924128212304e+00  2.904580223131882e+00       36
 7.040969622001603e+01  1.145439174597841e+00  0.000000000000000e+00  4.126490710904035e+00  1.114486578388669e+00  2.760614812382268e+00       37
 7.242516228186794e+01  1.292407286924765e+00  0.000000000000000e+00  4.308267156896752e+00  7.707847452128455e-01  2.616839583071976e+00       38
 7.444062834371984e+01  1.448253312425851e+00  0.000000000000000e+00  4.555135999205940e+00  4.230151771881172e-01  2.473543223338981e+00       39
 7.645609440557173e+01  1.612537456661893e+00  0.000000000000000e+00  4.858487388535094e+00  6.600548980931639e-02  2.330123978752379e+00       40
 7.999701424672674e+01  1.918851510821045e+00  0.000000000000000e+00  5.066997375265711e+00 -6.029134835543801e-01  2.075881353116741e+00       41
 8.240861190458908e+01  2.138267123989530e+00  0.000000000000000e+00  5.303139867610149e+00 -1.103749004247122e+00  1.899550260660781e+00       42
 8.482020956245144e+01  2.364636080864927e+00  0.000000000000000e+00  5.469822556375771e+00 -1.653873623724426e+00  1.719356219193986e+00       43
 8.723180722031380e+01  2.598021183391428e+00  0.000000000000000e+00  5.655287120919868e+00 -2.268843511034928e+00  1.534677361824034e+00       44
 8.917296901973235e+01  2.793570888268400e+00  0.000000000000000e+00  5.881924787629371e+00 -2.822345961137079e+00  1.383396401442806e+00       45
 9.111413081915089e+01  2.995876778437495e+00  0.000000000000000e+00  6.078321373614464e+00 -3.424588713926884e+00  1.229870462547485e+00       46
 9.305529261856942e+01  3.204661758602536e+00  0.000000000000000e+00  6.266561635888461e+00 -4.071667182428476e+00  1.074144351163422e+00       47
